id,tanggal,bulan,bulan_inggris,kuartal,kota,kategori,merek,produk,unit_terjual,biaya_iklan_jt,pendapatan_jt,rata_rata_pendapatan_jt
TRX0580,2024-03-13,Maret,March,Q1,Bekasi,SUV,Mitsubishi,Eclipse Cross,1,13.02,385,385
TRX0271,2024-03-13,Maret,March,Q1,Denpasar,MPV,Hyundai,Santa Fe,10,40.54,6030,603
TRX0424,2024-03-13,Maret,March,Q1,Depok,SUV,Lexus,RX,16,72.85,19216,1201
TRX0477,2024-03-14,Maret,March,Q1,Bekasi,SUV,Mitsubishi,Pajero Sport,10,23.66,6640,664
TRX0240,2024-03-14,Maret,March,Q1,Yogyakarta,SUV,Daihatsu,Terios,3,33.84,822,274
TRX0061,2024-03-14,Maret,March,Q1,Tangerang,Hatchback,Daihatsu,Ayla,11,20.54,1705,155
TRX0222,2024-03-14,Maret,March,Q1,Bandung,Hatchback,Mazda,MX-5,18,47.83,12942,719
TRX0400,2024-03-15,Maret,March,Q1,Bandung,SUV,Hyundai,Creta,10,41.92,3900,390
TRX0154,2024-03-15,Maret,March,Q1,Yogyakarta,Sedan,Honda,Civic,16,31.6,7056,441
TRX0242,2024-03-15,Maret,March,Q1,Surabaya,Hatchback,Toyota,Yaris,19,55.49,5339,281
TRX0474,2024-03-15,Maret,March,Q1,Malang,Sedan,Volkswagen,Touareg,17,30.95,20740,1220
TRX0195,2024-03-16,Maret,March,Q1,Depok,Hatchback,Hyundai,Santa Fe,6,34.66,3612,602
TRX0450,2024-03-16,Maret,March,Q1,Bekasi,SUV,Hyundai,Creta,4,47.51,1448,362
TRX0544,2024-03-16,Maret,March,Q1,Yogyakarta,MPV,Honda,Odyssey,18,71.32,11628,646
TRX0017,2024-03-17,Maret,March,Q1,Bandar Lampung,MPV,Wuling,Cortez,5,37.61,1350,270
TRX0234,2024-03-17,Maret,March,Q1,Depok,Hatchback,BMW,X3,11,51.14,13222,1202
TRX0226,2024-03-17,Maret,March,Q1,Manado,Pickup,Nissan,Navara,17,53.04,7327,431
TRX0266,2024-03-17,Maret,March,Q1,Semarang,Sedan,Mercedes-Benz,C-Class,2,51.22,2012,1006
TRX0203,2024-03-17,Maret,March,Q1,Makassar,MPV,BMW,X3,17,78.03,20179,1187
TRX0128,2024-03-18,Maret,March,Q1,Balikpapan,Sedan,Honda,Accord,2,51.17,1198,599
TRX0497,2024-03-18,Maret,March,Q1,Samarinda,SUV,Honda,CR-V,15,50.19,8325,555
TRX0248,2024-03-19,Maret,March,Q1,Makassar,MPV,Mazda,MX-5,4,35.97,2812,703
TRX0422,2024-03-19,Maret,March,Q1,Bekasi,Sedan,Mazda,Mazda6,12,26.26,6552,546
TRX0573,2024-03-19,Maret,March,Q1,Malang,Sedan,Mazda,Mazda3,5,13.62,2150,430
TRX0019,2024-03-19,Maret,March,Q1,Tangerang,Sedan,Toyota,Camry,19,70.69,10165,535
TRX0534,2024-03-19,Maret,March,Q1,Manado,Sedan,Nissan,Kicks,4,47.94,1552,388
TRX0148,2024-03-20,Maret,March,Q1,Yogyakarta,SUV,Nissan,X-Trail,6,38.21,2796,466
TRX0051,2024-03-20,Maret,March,Q1,Balikpapan,MPV,Nissan,Kicks,18,58.31,6696,372
TRX0286,2024-03-21,Maret,March,Q1,Jakarta,Hatchback,Suzuki,Ignis,5,25.2,1020,204
TRX0480,2024-03-21,Maret,March,Q1,Padang,MPV,Toyota,Avanza,9,60.21,2421,269
TRX0034,2024-03-21,Maret,March,Q1,Tangerang,LCGC,Daihatsu,Sigra,5,27.37,995,199
TRX0548,2024-03-21,Maret,March,Q1,Malang,Hatchback,Suzuki,Ignis,9,34.65,1908,212
TRX0505,2024-03-21,Maret,March,Q1,Balikpapan,SUV,Mitsubishi,Pajero Sport,11,53.12,7084,644
TRX0156,2024-03-21,Maret,March,Q1,Manado,Hatchback,Mazda,MX-5,14,50.52,9618,687
TRX0300,2024-03-22,Maret,March,Q1,Depok,Sedan,BMW,5 Series,19,54.69,24700,1300
TRX0215,2024-03-22,Maret,March,Q1,Malang,MPV,Mazda,CX-3,17,39.76,6562,386
TRX0585,2024-03-23,Maret,March,Q1,Makassar,SUV,Lexus,RX,18,42.64,21366,1187
TRX0379,2024-03-23,Maret,March,Q1,Denpasar,MPV,Daihatsu,Xenia,1,16.7,248,248
TRX0096,2024-03-23,Maret,March,Q1,Samarinda,SUV,Daihatsu,Terios,3,33.01,888,296
TRX0136,2024-03-23,Maret,March,Q1,Jakarta,SUV,Mitsubishi,Outlander,2,31.91,1012,506
TRX0327,2024-03-23,Maret,March,Q1,Depok,SUV,Daihatsu,Rocky,9,25.73,2574,286
TRX0387,2024-03-23,Maret,March,Q1,Semarang,SUV,Mitsubishi,Eclipse Cross,16,58.31,6256,391
TRX0263,2024-03-23,Maret,March,Q1,Tangerang,MPV,Daihatsu,Xenia,17,28.58,4012,236
TRX0294,2024-03-24,Maret,March,Q1,Denpasar,Hatchback,Toyota,Yaris,14,56.37,3710,265
TRX0408,2024-03-24,Maret,March,Q1,Bekasi,Hatchback,Kia,Stonic,1,10.79,306,306
TRX0563,2024-03-24,Maret,March,Q1,Bandar Lampung,SUV,Hyundai,Tucson,13,42.75,6617,509
TRX0374,2024-03-25,Maret,March,Q1,Medan,LCGC,Toyota,Calya,2,27.67,432,216
TRX0134,2024-03-25,Maret,March,Q1,Semarang,Sedan,Mercedes-Benz,S-Class,1,50.75,1989,1989
TRX0247,2024-03-25,Maret,March,Q1,Depok,SUV,Wuling,Almaz,9,13.89,3105,345
TRX0431,2024-03-25,Maret,March,Q1,Malang,SUV,Daihatsu,Rocky,10,44.17,2870,287
TRX0484,2024-03-25,Maret,March,Q1,Pekanbaru,SUV,BMW,X3,5,16.78,6090,1218
TRX0312,2024-03-25,Maret,March,Q1,Padang,Sedan,Mazda,Mazda6,8,24.99,4560,570
TRX0298,2024-03-26,Maret,March,Q1,Samarinda,Sedan,Mazda,Mazda3,15,68.54,6855,457
TRX0044,2024-03-26,Maret,March,Q1,Balikpapan,MPV,Mercedes-Benz,GLC,6,54.97,7824,1304
TRX0440,2024-03-27,Maret,March,Q1,Balikpapan,MPV,Volkswagen,Touareg,16,42.19,19072,1192
TRX0168,2024-03-27,Maret,March,Q1,Samarinda,SUV,Toyota,Rush,3,33.35,858,286
TRX0189,2024-03-27,Maret,March,Q1,Makassar,Sedan,Audi,A6,16,34.47,19008,1188
TRX0275,2024-03-27,Maret,March,Q1,Bekasi,Sedan,Mercedes-Benz,C-Class,16,54.43,15840,990
TRX0581,2024-03-28,Maret,March,Q1,Balikpapan,LCGC,Daihatsu,Sigra,12,41.05,2064,172
TRX0464,2024-03-28,Maret,March,Q1,Malang,SUV,Audi,Q5,8,41.64,9608,1201
TRX0391,2024-03-29,Maret,March,Q1,Yogyakarta,SUV,Mitsubishi,Pajero Sport,11,26.55,6930,630
TRX0410,2024-03-29,Maret,March,Q1,Balikpapan,LCGC,Daihatsu,Sigra,16,38.42,3328,208
TRX0458,2024-03-29,Maret,March,Q1,Denpasar,Pickup,Mitsubishi,Delica,20,48.66,8600,430
TRX0310,2024-03-30,Maret,March,Q1,Bogor,SUV,Honda,HR-V,15,44.24,5460,364
TRX0036,2024-03-30,Maret,March,Q1,Bandung,MPV,Volkswagen,Touareg,10,58.07,12080,1208
TRX0475,2024-03-31,Maret,March,Q1,Padang,Hatchback,Hyundai,Santa Fe,18,64.49,10926,607
TRX0541,2024-03-31,Maret,March,Q1,Denpasar,Sedan,Mazda,MX-5,17,68.88,11628,684
TRX0121,2024-03-31,Maret,March,Q1,Tangerang,MPV,Lexus,NX,5,38.9,5100,1020
TRX0196,2024-03-31,Maret,March,Q1,Samarinda,Sedan,Mazda,Mazda3,2,25.82,940,470
TRX0447,2024-04-01,April,April,Q2,Balikpapan,MPV,Daihatsu,Xenia,2,49.03,482,241
TRX0417,2024-04-02,April,April,Q2,Palembang,Hatchback,Daihatsu,Ayla,15,43.88,2625,175
TRX0566,2024-04-02,April,April,Q2,Manado,Hatchback,Kia,Stonic,14,53.07,4074,291
TRX0007,2024-04-02,April,April,Q2,Manado,LCGC,Suzuki,Karimun,3,45.72,522,174
TRX0323,2024-04-03,April,April,Q2,Padang,SUV,Audi,Q5,15,59.34,17895,1193
TRX0346,2024-04-03,April,April,Q2,Padang,Hatchback,Lexus,NX,3,10.72,3051,1017
TRX0042,2024-04-03,April,April,Q2,Surabaya,Hatchback,Volkswagen,Polo,7,30.29,2702,386
TRX0442,2024-04-03,April,April,Q2,Surabaya,Sedan,Mazda,Mazda3,18,76.63,8424,468
TRX0221,2024-04-03,April,April,Q2,Denpasar,SUV,Nissan,X-Trail,13,43.85,6058,466
TRX0150,2024-04-04,April,April,Q2,Depok,Sedan,BMW,3 Series,19,43.0,18677,983
TRX0126,2024-04-04,April,April,Q2,Bekasi,MPV,Wuling,Air ev,4,13.43,840,210
TRX0164,2024-04-04,April,April,Q2,Depok,Hatchback,Honda,Jazz,3,29.82,852,284
TRX0282,2024-04-05,April,April,Q2,Denpasar,Sedan,Hyundai,Santa Fe,8,48.72,4680,585
TRX0144,2024-04-05,April,April,Q2,Semarang,MPV,Kia,Seltos,4,51.96,1608,402
TRX0180,2024-04-05,April,April,Q2,Tangerang,SUV,Mazda,CX-5,12,27.12,5772,481
TRX0290,2024-04-06,April,April,Q2,Balikpapan,Pickup,Mitsubishi,Delica,13,29.6,6097,469
TRX0455,2024-04-07,April,April,Q2,Malang,SUV,Wuling,Almaz,5,15.67,1805,361
TRX0109,2024-04-07,April,April,Q2,Denpasar,Hatchback,Lexus,NX,2,50.44,2024,1012
TRX0525,2024-04-08,April,April,Q2,Semarang,Sedan,Honda,Civic,7,47.97,3234,462
TRX0342,2024-04-08,April,April,Q2,Malang,Sedan,Mazda,Mazda3,5,38.37,2235,447
TRX0193,2024-04-08,April,April,Q2,Yogyakarta,SUV,Mitsubishi,Eclipse Cross,16,26.99,6608,413
TRX0382,2024-04-09,April,April,Q2,Malang,Sedan,Volkswagen,Touareg,8,50.47,9616,1202
TRX0064,2024-04-09,April,April,Q2,Balikpapan,Hatchback,Kia,Picanto,20,37.95,4220,211
TRX0301,2024-04-10,April,April,Q2,Malang,Hatchback,Honda,Brio,7,44.95,1337,191
TRX0366,2024-04-10,April,April,Q2,Yogyakarta,MPV,Nissan,Kicks,8,24.37,2976,372
TRX0365,2024-04-10,April,April,Q2,Bandung,SUV,Wuling,Almaz,14,42.99,4830,345
TRX0191,2024-04-11,April,April,Q2,Padang,SUV,Hyundai,Palisade,7,47.8,5264,752
TRX0370,2024-04-11,April,April,Q2,Bandar Lampung,Hatchback,Toyota,Yaris,9,63.88,2349,261
TRX0153,2024-04-11,April,April,Q2,Samarinda,MPV,Toyota,Avanza,7,51.05,1701,243
TRX0511,2024-04-11,April,April,Q2,Malang,Sedan,Kia,Seltos,20,26.09,8240,412
TRX0120,2024-04-11,April,April,Q2,Bekasi,MPV,Toyota,Avanza,20,56.81,4960,248
TRX0011,2024-04-12,April,April,Q2,Bekasi,Sedan,Honda,Accord,19,55.27,11267,593
TRX0304,2024-04-12,April,April,Q2,Padang,Hatchback,Kia,Stonic,18,67.51,5454,303
TRX0046,2024-04-12,April,April,Q2,Yogyakarta,SUV,Daihatsu,Terios,9,40.73,2628,292
TRX0543,2024-04-13,April,April,Q2,Manado,Hatchback,Toyota,Yaris,6,13.44,1752,292
TRX0441,2024-04-13,April,April,Q2,Jakarta,MPV,Suzuki,XL7,5,35.3,1505,301
TRX0411,2024-04-13,April,April,Q2,Semarang,SUV,Wuling,Air ev,13,22.98,2535,195
TRX0509,2024-04-13,April,April,Q2,Manado,MPV,Suzuki,Ertiga,18,68.8,5292,294
TRX0522,2024-04-13,April,April,Q2,Samarinda,SUV,Wuling,Almaz,10,45.11,3430,343
TRX0495,2024-04-14,April,April,Q2,Denpasar,Hatchback,Hyundai,Tucson,11,49.62,5544,504
TRX0091,2024-04-14,April,April,Q2,Pekanbaru,Sedan,BMW,7 Series,16,40.38,28512,1782
TRX0467,2024-04-14,April,April,Q2,Medan,SUV,Daihatsu,Rocky,7,54.49,2009,287
TRX0103,2024-04-14,April,April,Q2,Bandung,MPV,Suzuki,Ertiga,15,51.05,4035,269
TRX0043,2024-04-14,April,April,Q2,Samarinda,Sedan,BMW,X3,6,15.74,7236,1206
TRX0142,2024-04-15,April,April,Q2,Yogyakarta,Sedan,Audi,A6,13,31.66,15418,1186
TRX0403,2024-04-15,April,April,Q2,Manado,Hatchback,Suzuki,Ignis,2,26.44,466,233
TRX0328,2024-04-15,April,April,Q2,Surabaya,MPV,Daihatsu,Xenia,5,45.73,1095,219
TRX0115,2024-04-15,April,April,Q2,Manado,Sedan,Lexus,NX,6,52.77,6114,1019
TRX0600,2024-04-16,April,April,Q2,Malang,SUV,Mercedes-Benz,GLA,20,18.94,22260,1113
TRX0088,2024-04-16,April,April,Q2,Samarinda,MPV,Wuling,Cortez,17,61.97,4896,288
TRX0265,2024-04-16,April,April,Q2,Balikpapan,SUV,Mitsubishi,Outlander,13,49.37,6682,514
TRX0068,2024-04-17,April,April,Q2,Bekasi,SUV,Audi,Q5,16,38.19,19424,1214
TRX0363,2024-04-17,April,April,Q2,Bogor,SUV,Toyota,Fortuner,9,63.07,5238,582
TRX0556,2024-04-17,April,April,Q2,Malang,MPV,Nissan,Kicks,15,31.36,5940,396
TRX0177,2024-04-17,April,April,Q2,Makassar,Sedan,Audi,Q3,9,56.32,9090,1010
TRX0427,2024-04-17,April,April,Q2,Denpasar,SUV,Mazda,CX-5,19,50.27,9348,492
TRX0217,2024-04-17,April,April,Q2,Tangerang,MPV,Audi,Q3,19,63.04,18848,992
TRX0145,2024-04-18,April,April,Q2,Surabaya,SUV,Daihatsu,Rocky,10,39.2,2860,286
TRX0348,2024-04-18,April,April,Q2,Denpasar,Hatchback,Honda,Jazz,18,23.13,5382,299
TRX0318,2024-04-18,April,April,Q2,Makassar,Sedan,Hyundai,Santa Fe,18,32.05,10998,611
TRX0194,2024-04-18,April,April,Q2,Bandung,Sedan,Mazda,MX-5,18,27.47,12600,700
TRX0013,2024-04-19,April,April,Q2,Manado,Sedan,Mazda,Mazda3,8,40.28,3696,462
TRX0399,2024-04-19,April,April,Q2,Bandung,SUV,Daihatsu,Rocky,16,18.26,4576,286
TRX0025,2024-04-20,April,April,Q2,Malang,Sedan,Mazda,Mazda6,15,31.61,8040,536
TRX0313,2024-04-20,April,April,Q2,Denpasar,Sedan,Toyota,Camry,15,17.53,8310,554
TRX0167,2024-04-22,April,April,Q2,Bandar Lampung,Hatchback,Kia,Picanto,6,52.79,1218,203
TRX0102,2024-04-22,April,April,Q2,Bogor,Sedan,Honda,Civic,20,29.39,8800,440
TRX0122,2024-04-22,April,April,Q2,Surabaya,Pickup,Wuling,Formo,5,25.32,1240,248
TRX0131,2024-04-23,April,April,Q2,Pekanbaru,SUV,Suzuki,S-Cross,12,18.69,4224,352
TRX0252,2024-04-23,April,April,Q2,Medan,Hatchback,Lexus,NX,3,44.93,3024,1008
TRX0059,2024-04-23,April,April,Q2,Samarinda,Hatchback,Audi,e-tron,18,60.28,26820,1490
TRX0481,2024-04-23,April,April,Q2,Tangerang,Hatchback,Volkswagen,Polo,19,44.0,7942,418
TRX0376,2024-04-24,April,April,Q2,Semarang,Sedan,Toyota,Camry,10,56.91,5560,556
TRX0461,2024-04-24,April,April,Q2,Bandung,Sedan,Audi,A6,15,73.4,17805,1187
TRX0202,2024-04-25,April,April,Q2,Makassar,SUV,Volkswagen,Passat,11,40.04,7524,684
TRX0207,2024-04-25,April,April,Q2,Pekanbaru,Sedan,Lexus,LS,12,43.07,21780,1815
TRX0319,2024-04-25,April,April,Q2,Samarinda,SUV,Toyota,Rush,1,14.86,288,288
TRX0594,2024-04-26,April,April,Q2,Jakarta,Sedan,Mercedes-Benz,S-Class,13,46.49,25753,1981
TRX0453,2024-04-26,April,April,Q2,Bekasi,Sedan,Audi,A6,16,34.8,19040,1190
TRX0016,2024-04-26,April,April,Q2,Jakarta,Sedan,BMW,3 Series,17,76.77,17204,1012
TRX0351,2024-04-26,April,April,Q2,Samarinda,SUV,Wuling,Almaz,10,12.63,3370,337
TRX0141,2024-04-26,April,April,Q2,Bandar Lampung,SUV,Wuling,Air ev,4,31.68,772,193
TRX0468,2024-04-27,April,April,Q2,Palembang,Sedan,BMW,3 Series,4,53.72,3928,982
TRX0006,2024-04-27,April,April,Q2,Padang,SUV,Honda,HR-V,3,46.61,1134,378
TRX0190,2024-04-27,April,April,Q2,Surabaya,MPV,Daihatsu,Xenia,2,21.13,424,212
TRX0434,2024-04-27,April,April,Q2,Semarang,MPV,Nissan,Serena,3,35.69,1203,401
TRX0316,2024-04-27,April,April,Q2,Samarinda,SUV,Mitsubishi,Outlander,20,36.25,9760,488
TRX0077,2024-04-28,April,April,Q2,Manado,MPV,Wuling,Air ev,1,14.0,200,200
TRX0302,2024-04-28,April,April,Q2,Palembang,SUV,Hyundai,Palisade,14,45.58,10332,738
TRX0402,2024-04-29,April,April,Q2,Bekasi,SUV,Suzuki,S-Cross,5,43.63,1675,335
TRX0176,2024-04-30,April,April,Q2,Palembang,Pickup,Nissan,Navara,15,58.83,6270,418
TRX0459,2024-04-30,April,April,Q2,Bogor,SUV,Audi,Q3,16,34.57,15920,995
TRX0137,2024-05-01,Mei,May,Q2,Pekanbaru,Sedan,Mercedes-Benz,E-Class,17,60.28,20536,1208
TRX0568,2024-05-01,Mei,May,Q2,Padang,MPV,Toyota,Avanza,13,28.23,3055,235
TRX0465,2024-05-01,Mei,May,Q2,Malang,Sedan,BMW,5 Series,4,9.23,5176,1294
TRX0404,2024-05-01,Mei,May,Q2,Manado,Hatchback,Volkswagen,Touareg,10,61.34,12050,1205
TRX0337,2024-05-02,Mei,May,Q2,Bandung,Pickup,Mitsubishi,Delica,8,17.77,3664,458
TRX0232,2024-05-02,Mei,May,Q2,Bandar Lampung,Sedan,Mazda,Mazda3,6,26.59,2784,464
TRX0279,2024-05-03,Mei,May,Q2,Bogor,MPV,Toyota,Avanza,18,28.83,4608,256
TRX0076,2024-05-03,Mei,May,Q2,Pekanbaru,MPV,Mazda,MX-5,11,30.49,7535,685
TRX0523,2024-05-03,Mei,May,Q2,Makassar,Hatchback,Suzuki,Swift,20,57.38,5340,267
TRX0448,2024-05-03,Mei,May,Q2,Yogyakarta,MPV,Suzuki,Ertiga,1,44.09,267,267
TRX0527,2024-05-03,Mei,May,Q2,Semarang,Hatchback,Volkswagen,Golf,18,47.49,9126,507
TRX0107,2024-05-03,Mei,May,Q2,Malang,Pickup,Nissan,Navara,18,79.46,7722,429
TRX0517,2024-05-04,Mei,May,Q2,Bogor,Hatchback,Volkswagen,Golf,1,25.64,488,488
TRX0333,2024-05-04,Mei,May,Q2,Yogyakarta,SUV,Volkswagen,Tiguan,2,42.65,1340,670
TRX0024,2024-05-04,Mei,May,Q2,Palembang,Hatchback,Kia,Sportage,8,18.73,3648,456
TRX0579,2024-05-05,Mei,May,Q2,Palembang,SUV,Nissan,X-Trail,5,15.79,2320,464
TRX0375,2024-05-07,Mei,May,Q2,Jakarta,Sedan,Mazda,Mazda6,6,51.35,3258,543
TRX0213,2024-05-07,Mei,May,Q2,Padang,Hatchback,Daihatsu,Ayla,16,28.14,2800,175
TRX0224,2024-05-08,Mei,May,Q2,Surabaya,MPV,Toyota,Avanza,5,31.99,1300,260
TRX0405,2024-05-08,Mei,May,Q2,Manado,Hatchback,Volkswagen,Golf,19,70.01,9253,487
TRX0231,2024-05-08,Mei,May,Q2,Samarinda,SUV,Volkswagen,Passat,5,40.23,3465,693
TRX0460,2024-05-09,Mei,May,Q2,Tangerang,Hatchback,Kia,Stonic,13,47.78,3705,285
TRX0104,2024-05-10,Mei,May,Q2,Bekasi,Sedan,Mazda,Mazda6,16,47.01,8944,559
TRX0225,2024-05-11,Mei,May,Q2,Semarang,Pickup,Nissan,Navara,11,67.28,4675,425
TRX0152,2024-05-11,Mei,May,Q2,Medan,SUV,Nissan,Kicks,10,40.7,3930,393
TRX0218,2024-05-11,Mei,May,Q2,Pekanbaru,Hatchback,Hyundai,Palisade,1,29.7,755,755
TRX0518,2024-05-11,Mei,May,Q2,Bekasi,MPV,Suzuki,XL7,6,42.44,1938,323
TRX0521,2024-05-11,Mei,May,Q2,Surabaya,Hatchback,Volkswagen,Golf,5,20.47,2450,490
TRX0253,2024-05-11,Mei,May,Q2,Balikpapan,SUV,Hyundai,Santa Fe,18,57.24,10782,599
TRX0101,2024-05-12,Mei,May,Q2,Malang,Hatchback,Wuling,Air ev,2,33.5,394,197
TRX0307,2024-05-12,Mei,May,Q2,Padang,MPV,Wuling,Cortez,15,48.63,4275,285
TRX0364,2024-05-13,Mei,May,Q2,Balikpapan,Sedan,BMW,3 Series,15,19.81,15255,1017
TRX0423,2024-05-13,Mei,May,Q2,Samarinda,SUV,Mazda,MX-5,1,31.66,703,703
TRX0206,2024-05-14,Mei,May,Q2,Balikpapan,Sedan,Mercedes-Benz,C-Class,19,76.56,18772,988
TRX0083,2024-05-14,Mei,May,Q2,Samarinda,SUV,Daihatsu,Terios,7,27.91,1918,274
TRX0015,2024-05-15,Mei,May,Q2,Bekasi,SUV,Kia,Seltos,18,30.76,7218,401
TRX0433,2024-05-15,Mei,May,Q2,Depok,SUV,Mazda,CX-5,5,30.32,2460,492
TRX0018,2024-05-15,Mei,May,Q2,Jakarta,Pickup,Wuling,Formo,16,75.9,3792,237
TRX0112,2024-05-16,Mei,May,Q2,Denpasar,SUV,Nissan,Kicks,20,71.03,7500,375
TRX0020,2024-05-16,Mei,May,Q2,Semarang,SUV,Mitsubishi,Eclipse Cross,18,54.12,7128,396
TRX0492,2024-05-16,Mei,May,Q2,Jakarta,SUV,Lexus,RX,7,48.26,8449,1207
TRX0250,2024-05-17,Mei,May,Q2,Palembang,SUV,Mercedes-Benz,GLC,17,47.16,22321,1313
TRX0047,2024-05-17,Mei,May,Q2,Yogyakarta,MPV,Toyota,Innova,9,56.4,3303,367
TRX0257,2024-05-18,Mei,May,Q2,Semarang,Sedan,Lexus,ES,4,25.45,4456,1114
TRX0002,2024-05-19,Mei,May,Q2,Bandung,SUV,Wuling,Air ev,1,16.87,193,193
TRX0243,2024-05-19,Mei,May,Q2,Bandar Lampung,MPV,Hyundai,Stargazer,17,25.05,5899,347
TRX0500,2024-05-20,Mei,May,Q2,Bandung,MPV,Daihatsu,Xenia,12,67.08,2832,236
TRX0081,2024-05-20,Mei,May,Q2,Yogyakarta,MPV,Nissan,Kicks,10,18.32,3740,374
TRX0038,2024-05-21,Mei,May,Q2,Semarang,Hatchback,Daihatsu,Ayla,20,43.19,3420,171
TRX0507,2024-05-21,Mei,May,Q2,Medan,Pickup,Mitsubishi,Delica,3,47.49,1314,438
TRX0593,2024-05-21,Mei,May,Q2,Makassar,Hatchback,Honda,Brio,5,48.44,990,198
TRX0596,2024-05-21,Mei,May,Q2,Semarang,Pickup,Wuling,Formo,11,24.1,2750,250
TRX0371,2024-05-22,Mei,May,Q2,Padang,MPV,Suzuki,Ertiga,15,19.35,4020,268
TRX0293,2024-05-22,Mei,May,Q2,Bandar Lampung,SUV,Mazda,CX-5,1,31.34,502,502
TRX0320,2024-05-23,Mei,May,Q2,Bandar Lampung,Hatchback,Lexus,LX,16,36.98,24128,1508
TRX0542,2024-05-23,Mei,May,Q2,Manado,MPV,Nissan,Livina,9,58.98,2862,318
TRX0127,2024-05-23,Mei,May,Q2,Yogyakarta,Hatchback,Volkswagen,Golf,8,56.99,4160,520
TRX0576,2024-05-23,Mei,May,Q2,Balikpapan,Sedan,Mazda,CX-3,13,31.57,5122,394
TRX0003,2024-05-23,Mei,May,Q2,Palembang,Sedan,BMW,7 Series,14,55.51,25312,1808
TRX0512,2024-05-24,Mei,May,Q2,Manado,Hatchback,Lexus,NX,12,49.44,11928,994
TRX0162,2024-05-24,Mei,May,Q2,Samarinda,MPV,Nissan,Livina,5,33.34,1420,284
TRX0322,2024-05-24,Mei,May,Q2,Bogor,Hatchback,Kia,Picanto,4,22.31,748,187
TRX0251,2024-05-24,Mei,May,Q2,Medan,Sedan,Toyota,Camry,19,46.26,10241,539
TRX0545,2024-05-24,Mei,May,Q2,Bogor,MPV,Mercedes-Benz,GLC,15,62.14,19755,1317
TRX0416,2024-05-25,Mei,May,Q2,Jakarta,MPV,Mitsubishi,Xpander,7,10.52,2205,315
TRX0502,2024-05-25,Mei,May,Q2,Surabaya,Hatchback,Audi,e-tron,18,50.99,26964,1498
TRX0409,2024-05-25,Mei,May,Q2,Manado,SUV,Wuling,Almaz,4,47.56,1344,336
TRX0287,2024-05-25,Mei,May,Q2,Denpasar,Sedan,Lexus,LS,11,57.45,19668,1788
TRX0598,2024-05-26,Mei,May,Q2,Denpasar,MPV,Lexus,LX,2,33.48,2988,1494
TRX0185,2024-05-27,Mei,May,Q2,Tangerang,MPV,BMW,X3,14,39.86,17066,1219
TRX0049,2024-05-27,Mei,May,Q2,Palembang,SUV,Daihatsu,Terios,14,64.96,4102,293
TRX0551,2024-05-27,Mei,May,Q2,Bekasi,MPV,Hyundai,Stargazer,17,38.2,6035,355
TRX0394,2024-05-27,Mei,May,Q2,Tangerang,SUV,Mitsubishi,Eclipse Cross,3,8.58,1194,398
TRX0072,2024-05-27,Mei,May,Q2,Denpasar,SUV,Mazda,CX-3,19,54.47,7334,386
TRX0053,2024-05-28,Mei,May,Q2,Samarinda,Sedan,Lexus,ES,15,54.4,16620,1108
TRX0211,2024-05-28,Mei,May,Q2,Semarang,Pickup,Mitsubishi,Delica,20,42.77,9320,466
TRX0432,2024-05-29,Mei,May,Q2,Manado,SUV,Wuling,Almaz,16,34.73,5792,362
TRX0031,2024-05-29,Mei,May,Q2,Bogor,Hatchback,Kia,Picanto,6,13.28,1272,212
TRX0118,2024-05-30,Mei,May,Q2,Depok,MPV,Lexus,LX,15,76.67,22380,1492
TRX0089,2024-05-30,Mei,May,Q2,Balikpapan,SUV,Daihatsu,Rocky,20,61.18,6380,319
TRX0469,2024-05-30,Mei,May,Q2,Medan,Sedan,Mercedes-Benz,C-Class,15,55.97,14820,988
TRX0066,2024-05-31,Mei,May,Q2,Manado,SUV,Lexus,RX,3,46.33,3564,1188
TRX0264,2024-05-31,Mei,May,Q2,Makassar,Hatchback,Lexus,LX,2,42.32,3008,1504
TRX0032,2024-06-01,Juni,June,Q2,Bandung,Hatchback,Lexus,NX,4,33.29,3980,995
TRX0345,2024-06-01,Juni,June,Q2,Bandung,MPV,Kia,Seltos,11,58.61,4444,404
TRX0305,2024-06-01,Juni,June,Q2,Bandung,Sedan,Honda,Odyssey,12,30.7,8028,669
TRX0174,2024-06-01,Juni,June,Q2,Denpasar,MPV,Mitsubishi,Xpander,6,13.24,1968,328
TRX0299,2024-06-01,Juni,June,Q2,Semarang,Hatchback,Daihatsu,Ayla,20,58.08,3600,180
TRX0426,2024-06-02,Juni,June,Q2,Denpasar,Sedan,Lexus,ES,5,54.33,5555,1111
TRX0105,2024-06-02,Juni,June,Q2,Bandar Lampung,SUV,BMW,X3,9,58.4,10809,1201
TRX0343,2024-06-02,Juni,June,Q2,Samarinda,Sedan,BMW,7 Series,10,28.35,17990,1799
TRX0289,2024-06-03,Juni,June,Q2,Samarinda,MPV,Wuling,Air ev,1,28.11,208,208
TRX0463,2024-06-03,Juni,June,Q2,Samarinda,Sedan,Lexus,ES,17,54.59,18581,1093
TRX0473,2024-06-03,Juni,June,Q2,Bandar Lampung,SUV,Daihatsu,Rocky,11,23.74,3520,320
TRX0472,2024-06-04,Juni,June,Q2,Tangerang,LCGC,Daihatsu,Sigra,11,49.0,2178,198
